Sliding Sketch,Arrivals,ARE
input_num: 305, guess: 1, real: 1
Sl-CM,412,0
input_num: 269, guess: 4, real: 4
Sl-CM,413,0
input_num: 2089740, guess: 2, real: 2
Sl-CM,414,0
input_num: 35, guess: 8, real: 8
Sl-CM,415,0
input_num: 198, guess: 2, real: 2
Sl-CM,416,0
input_num: 269, guess: 5, real: 5
Sl-CM,417,0
input_num: 59, guess: 10, real: 10
Sl-CM,418,0
input_num: 83, guess: 1, real: 1
Sl-CM,419,0
input_num: 91, guess: 25, real: 25
Sl-CM,420,0
input_num: 27, guess: 2, real: 2
Sl-CM,421,0
input_num: 2089740, guess: 3, real: 3
Sl-CM,422,0
input_num: 199, guess: 4, real: 4
Sl-CM,423,0
input_num: 83, guess: 2, real: 2
Sl-CM,424,0
input_num: 304, guess: 2, real: 2
Sl-CM,425,0
input_num: 59, guess: 11, real: 11
Sl-CM,426,0
input_num: 149, guess: 3, real: 3
Sl-CM,427,0
input_num: 91, guess: 26, real: 26
Sl-CM,428,0
input_num: 34, guess: 15, real: 15
Sl-CM,429,0
input_num: 122, guess: 7, real: 7
Sl-CM,430,0
input_num: 313, guess: 2, real: 2
Sl-CM,431,0
input_num: 96, guess: 2, real: 2
Sl-CM,432,0
input_num: 313, guess: 3, real: 3
Sl-CM,433,0
input_num: 153, guess: 3, real: 3
Sl-CM,434,0
input_num: 92, guess: 1, real: 1
Sl-CM,435,0
input_num: 307, guess: 2, real: 2
Sl-CM,436,0
input_num: 58, guess: 7, real: 7
Sl-CM,437,0
input_num: 2089740, guess: 4, real: 4
Sl-CM,438,0
input_num: 332, guess: 1, real: 1
Sl-CM,439,0
input_num: 2089740, guess: 5, real: 5
Sl-CM,440,0
input_num: 122, guess: 8, real: 8
Sl-CM,441,0
input_num: 341, guess: 1, real: 1
Sl-CM,442,0
input_num: 71, guess: 6, real: 6
Sl-CM,443,0
input_num: 25, guess: 4, real: 4
Sl-CM,444,0
input_num: 271, guess: 1, real: 1
Sl-CM,445,0
input_num: 71, guess: 7, real: 7
Sl-CM,446,0
input_num: 271, guess: 2, real: 2
Sl-CM,447,0
input_num: 102, guess: 1, real: 1
Sl-CM,448,0
input_num: 199, guess: 5, real: 5
Sl-CM,449,0
input_num: 67, guess: 1, real: 1
Sl-CM,450,0
input_num: 52, guess: 1, real: 1
Sl-CM,451,0
input_num: 1384652, guess: 3, real: 3
Sl-CM,452,0
input_num: 318, guess: 1, real: 1
Sl-CM,453,0
input_num: 52, guess: 2, real: 2
Sl-CM,454,0
input_num: 52, guess: 3, real: 3
Sl-CM,455,0
input_num: 1384652, guess: 4, real: 4
Sl-CM,456,0
input_num: 173, guess: 4, real: 4
Sl-CM,457,0
input_num: 92, guess: 2, real: 2
Sl-CM,458,0
input_num: 318, guess: 2, real: 2
Sl-CM,459,0
input_num: 224, guess: 2, real: 2
Sl-CM,460,0
input_num: 192, guess: 6, real: 6
Sl-CM,461,0
input_num: 92, guess: 3, real: 3
Sl-CM,462,0
input_num: 52, guess: 4, real: 4
Sl-CM,463,0
input_num: 27, guess: 3, real: 3
Sl-CM,464,0
input_num: 225, guess: 2, real: 2
Sl-CM,465,0
input_num: 52, guess: 5, real: 5
Sl-CM,466,0
input_num: 1384652, guess: 5, real: 5
Sl-CM,467,0
input_num: 72, guess: 4, real: 4
Sl-CM,468,0
input_num: 117, guess: 3, real: 3
Sl-CM,469,0
input_num: 199, guess: 6, real: 6
Sl-CM,470,0
input_num: 52, guess: 6, real: 6
Sl-CM,471,0
input_num: 122, guess: 9, real: 9
Sl-CM,472,0
input_num: 207, guess: 1, real: 1
Sl-CM,473,0
input_num: 308, guess: 1, real: 1
Sl-CM,474,0
input_num: 116, guess: 12, real: 12
Sl-CM,475,0
input_num: 48, guess: 5, real: 5
Sl-CM,476,0
input_num: 3, guess: 2, real: 2
Sl-CM,477,0
input_num: 216, guess: 3, real: 3
Sl-CM,478,0
